title,url,category,instructor,platform,search_corpus
Network Security,https://www.coursera.org/learn/-network-security,Information Technology,['~31081695'],Coursera,"network security information technology computer networking, network planning and design, tcp/ip, threat detection, cyber attacks, general networking, encryption, threat management, network protocols, firewall, cloud computing, network security, cybersecurity, data centers, infrastructure security"
Security Principles,https://www.coursera.org/learn/-security-principles,Information Technology,['~31081695'],Coursera,"security principles information technology cyber security policies, data integrity, cybersecurity, security controls, governance, security awareness, cyber risk, risk management framework, information assurance, cyber governance, data ethics"
21st Century Energy Transition: how do we make it work?,https://www.coursera.org/learn/21st-century-energy-transition,Physical Science And Engineering,['brad-hayes'],Coursera,"21st century energy transition: how do we make it work? physical science and engineering electric power systems, environmental policy, transportation, supply chain, and logistics, innovation, energy and utilities, oil and gas, sustainable technologies, sustainable development, supply chain management, emerging technologies, environment, climate change mitigation"
VR and 360 Video Production,https://www.coursera.org/learn/360-vr-video-production,Arts And Humanities,['googlearvr'],Coursera,"vr and 360 video production arts and humanities virtual reality, videography, media production, post-production, augmented and virtual reality (ar/vr), photo/video production and technology, editing, virtual environment, video production"
Foundations of Human Anatomy and Physiology,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course,Health,"['~167016541', '~166856472', '~166856442', '~166856230']",Coursera,"foundations of human anatomy and physiology health vital signs, basic patient care, anatomy, health assessment, physiology, respiration, health systems, medical terminology, cell biology, biology, human musculoskeletal system"
3D CAD Application,https://www.coursera.org/learn/3d-cad-application,Physical Science And Engineering,['sckang'],Coursera,"3d cad application physical science and engineering computer-aided design, construction, 3d assets, architectural drawing, 3d modeling, sketchup (3d modeling software), architecture and construction, building design"
3D CAD Fundamental,https://www.coursera.org/learn/3d-cad-fundamental,Physical Science And Engineering,['sckang'],Coursera,"3d cad fundamental physical science and engineering software installation, sketchup (3d modeling software), visualization (computer graphics), 3d assets, 3d modeling"
The Heart of the Matter: Exploring the Cardiovascular System,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course,Health,"['~167016541', '~166856472', '~166856442', '~166856230']",Coursera,"the heart of the matter: exploring the cardiovascular system health diagnostic tests, vital signs, cardiac dysrhythmia, physiology, cardiology, hemodynamics, respiration, anatomy, hematology, patient treatment, capillary, medical terminology"
3D Character Design Workshop with Nomad Sculpt,https://www.coursera.org/learn/3d-character-design-workshop-with-nomad-sculpt,Arts And Humanities,['~186501695'],Coursera,"3d character design workshop with nomad sculpt arts and humanities color theory, animation and game design, 3d modeling, visualization (computer graphics), creative design, computer graphics, 3d assets"
Current Gen 3D Game Prop Production,https://www.coursera.org/learn/3d-game-prop-production,Arts And Humanities,['andrewdennis'],Coursera,"current gen 3d game prop production arts and humanities computer graphics, graphical tools, computer graphic techniques, 3d assets, 3d modeling, design research, baking, prototyping"
Digestive Dynamics: Understanding the GI System,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course,Health,"['~167016541', '~166856472', '~166856442', '~166856230']",Coursera,"digestive dynamics: understanding the gi system health physiology, clinical practices, molecular, cellular, and microbiology, anatomy, biology, pathology, diagnostic tests, medical terminology, microbiology, nutrition and diet"
3D Lighting 101 with Nomad Sculpt,https://www.coursera.org/learn/3d-lighting-101-with-nomad-sculpt,Arts And Humanities,['~186501695'],Coursera,"3d lighting 101 with nomad sculpt arts and humanities computer graphics, 3d assets, color theory, image quality, 3d modeling, computer graphic techniques, visualization (computer graphics)"
The Framework of Movement: Understanding Bones and Muscles,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course,Health,"['~166856442', '~167016541', '~166856472', '~166856230']",Coursera,"the framework of movement: understanding bones and muscles health chronic diseases, orthopedics, medical terminology, exercise science, physical therapy, anatomy, physiology, diagnostic tests, kinesiology, human musculoskeletal system, sports medicine, medical imaging"
3D Printing Technology Deep Dive and Use Cases,https://www.coursera.org/learn/3d-printing-technology-deep-dive-and-use-cases,Physical Science And Engineering,['~124197120'],Coursera,"3d printing technology deep dive and use cases physical science and engineering mechanical engineering, 3d modeling, prototyping, cost estimation, electronics, research and design, computer-aided design, industrial design, materials science, manufacturing processes"
Breath of Life: Exploring the Respiratory System,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course,Health,"['~167016541', '~166856472', '~166856442', '~166856230']",Coursera,"breath of life: exploring the respiratory system health patient treatment, pulmonary function testing, pharmacotherapy, physiology, airway management, patient evaluation, capillary, anatomy, infectious diseases, oxygen therapy, diagnostic tests, medical terminology, immunology, respiratory care, respiration, pulmonology"
Integrating Specialized Body Functions,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course,Health,"['~166856442', '~167016541', '~166856472', '~166856230']",Coursera,"integrating specialized body functions health immunology, pathology, physiology, neurology, endocrinology, health assessment, nephrology, obstetrics and gynecology, gynecology, anatomy, urology"
4G Network Fundamentals,https://www.coursera.org/learn/4g-network-fundamentals,Information Technology,['~89189666'],Coursera,"4g network fundamentals information technology network protocols, digital communications, telecommunications, network architecture, network security, wireless networks, mobile security, dataflow, computer networking, capacity management, network infrastructure"
5G Network Fundamentals,https://www.coursera.org/learn/5g-network-fundamentals,Information Technology,['~89189666'],Coursera,"5g network fundamentals information technology network planning and design, mobile security, software-defined networking, infrastructure security, cloud computing architecture, wireless networks, virtual private networks (vpn), network performance management, emerging technologies, network security, telecommunications, service oriented architecture, computer networking, network protocols, network architecture, encryption, communication systems"
5G for Everyone,https://www.coursera.org/learn/5g-training-qualcomm,Physical Science And Engineering,['~100182396'],Coursera,"5g for everyone physical science and engineering wireless networks, internet of things, virtualization, emerging technologies, business transformation, telecommunications, general networking, network infrastructure"
"6G Deployment: Testbeds, Antenna Systems & Digital Twins",https://www.coursera.org/learn/6g-deployment-testbeds-antenna-systems-and-digital-twins,Physical Science And Engineering,"['~176370912', '~152736905']",Coursera,"6g deployment: testbeds, antenna systems & digital twins physical science and engineering distributed computing, information technology, development testing, interoperability, network architecture, trustworthiness, artificial intelligence and machine learning (ai/ml), machine learning, emerging technologies, software-defined networking, network planning and design, electrical engineering, internet of things, communication systems, augmented and virtual reality (ar/vr), electronics engineering, wireless networks, telecommunications, digital communications, zero trust network access"
"6G Evolution: Blockchain, Semantic Communications & Radar",https://www.coursera.org/learn/6g-evolution-blockchain-semantic-communications-and-radar,Physical Science And Engineering,"['~176370912', '~152736905']",Coursera,"6g evolution: blockchain, semantic communications & radar physical science and engineering machine learning, trustworthiness, electronics engineering, information technology, artificial intelligence and machine learning (ai/ml), internet of things, artificial intelligence, electrical engineering, distributed computing, communication systems, emerging technologies, generative ai, zero trust network access, health technology, network architecture, digital communications, software-defined networking, deep learning"
"6G Vision: ML, Intelligent Surfaces & Optical Networks",https://www.coursera.org/learn/6g-vision-ml-intelligent-surfaces-and-optical-networks,Physical Science And Engineering,"['~176370912', '~152736905']",Coursera,"6g vision: ml, intelligent surfaces & optical networks physical science and engineering electrical engineering, machine learning, artificial intelligence and machine learning (ai/ml), zero trust network access, distributed computing, software-defined networking, information technology, wireless networks, electronics engineering, network planning and design, internet of things, digital communications, trustworthiness, emerging technologies"
"8 Most Controversial Terms in AI, Explained",https://www.coursera.org/learn/8-most-controversial-terms-in-ai-explained,Personal Development,['~145762509'],Coursera,"8 most controversial terms in ai, explained personal development open source technology, artificial intelligence, large language modeling, machine learning, responsible ai, generative ai"
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,https://www.coursera.org/learn/911-attack,Social Sciences,['davidschanzer'],Coursera,"understanding 9/11: why 9/11 happened & how terrorism affects our world today social sciences security strategy, social studies, world history, political sciences, cultural diversity, intelligence collection and analysis, policy analysis, public safety and national security, policy development, international relations"
A Blueprint for Success – Your Video Pre-Production,https://www.coursera.org/learn/a-blueprint-for-success-your-video-pre-production,Personal Development,"['~122887050', '~75961021']",Coursera,"a blueprint for success – your video pre-production personal development video production, creativity, editing, storyboarding, writing, videography, storytelling, proposal development, video editing"
A New Communication Framework for Healthcare,https://www.coursera.org/learn/a-new-communication-framework-for-healthcare,Health,"['~121841605', '~101139435', '~81898662', '~13250341', '~124011006']",Coursera,"a new communication framework for healthcare health verbal communication skills, emotional intelligence, interpersonal communications, patient-centered care, communication, self-awareness, compassion, patient communication, cultural diversity, empathy, active listening"
A Public Health Approach to Hearing Loss and Aging,https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging,Health,"['~13508122', '~100851561', '~100851532']",Coursera,"a public health approach to hearing loss and aging health health care, communication disorders, long term care, medicare, health disparities, health policy, disabilities, public health, social determinants of health, epidemiology, patient education and counseling, patient-centered care, gerontology, health systems"
A starter’s guide to Open Science,https://www.coursera.org/learn/a-starters-guide-to-open-science,Social Sciences,"['~131482824', '~6048878', '~90142928', '~17966013']",Coursera,"a starter’s guide to open science social sciences peer review, education and training, educational materials, scientific methods, data sharing, data access, research methodologies, experimentation, metadata management, research design, general science and research, ethical standards and conduct, science and research, interoperability, data store, research"
A Strategic Approach to Cybersecurity,https://www.coursera.org/learn/a-strategic-approach-to-cybersecurity,Computer Science,['~78436469'],Coursera,"a strategic approach to cybersecurity computer science infrastructure security, risk management, cyber security strategy, cyber security assessment, information privacy, security management, cyber security policies, security strategy, vulnerability assessments, cyber risk, security awareness, cybersecurity, cyber governance, threat modeling"
